127.0.0.1 - - [15/May/2026:11:40:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/img/aries_logo_gold_1778626761103.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/img/aries_men_fashion_1778626179267.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/img/aries_women_fashion_1778626164860.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/img/aries_accessories_1778626670825.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /AriesFashionStore/assets/img/aries_kids_fashion_1778626430894.png HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:22 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:33 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15525
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:33 +0530] "GET /AriesFashionStore/assets/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:41:33 +0530] "GET /AriesFashionStore/assets/images/main_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:42:59 +0530] "GET /AriesFashionStore/category?id=2 HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:00 +0530] "GET /AriesFashionStore/assets/css/products.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:04 +0530] "GET /AriesFashionStore/product-details?id=5 HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:04 +0530] "GET /AriesFashionStore/assets/css/product-details.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:14 +0530] "POST /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:14 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:14 +0530] "GET /AriesFashionStore/assets/css/auth.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:43:20 +0530] "GET /AriesFashionStore/register HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [15/May/2026:11:44:15 +0530] "POST /AriesFashionStore/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:44:15 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [15/May/2026:11:44:46 +0530] "POST /AriesFashionStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:44:46 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [15/May/2026:11:45:18 +0530] "GET /AriesFashionStore/category?id=2 HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [15/May/2026:11:45:21 +0530] "GET /AriesFashionStore/product-details?id=5 HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [15/May/2026:11:45:22 +0530] "POST /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:45:22 +0530] "GET /AriesFashionStore/product-details?id=5 HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [15/May/2026:11:47:06 +0530] "POST /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:11:47:07 +0530] "GET /AriesFashionStore/product-details?id=5 HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [15/May/2026:11:47:10 +0530] "GET /AriesFashionStore/cart HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [15/May/2026:11:47:10 +0530] "GET /AriesFashionStore/assets/images/default.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/May/2026:11:47:10 +0530] "GET /AriesFashionStore/assets/css/cart.css HTTP/1.1" 304 -
